iter	Logloss
0	0.6902949171
1	0.6866807198
2	0.6833137613
3	0.6803304159
4	0.6769093707
5	0.6742422264
6	0.6713111893
7	0.6679124602
8	0.6654951209
9	0.6629212307
10	0.6601049888
11	0.6574950634
12	0.6548954626
13	0.652129683
14	0.6496641042
15	0.6477969505
16	0.6450325796
17	0.6425643964
18	0.6403455457
19	0.6381309088
20	0.6355534908
21	0.6335466274
22	0.6311699777
23	0.6287812124
24	0.6267727547
25	0.6248391138
26	0.6225573003
27	0.6203765129
28	0.6186511296
29	0.6164851647
30	0.6145470279
31	0.6122550707
32	0.6104028178
33	0.6084798954
34	0.6066398794
35	0.6047949639
36	0.603043285
37	0.6015339817
38	0.599775163
39	0.5978463777
40	0.5955432326
41	0.5942075222
42	0.5923512832
43	0.590706256
44	0.5888747094
45	0.5877609707
46	0.586457281
47	0.5849974721
48	0.5836302232
49	0.5821032636
50	0.5808985563
51	0.5792256069
52	0.5781227686
53	0.5760113924
54	0.5743427234
55	0.5730766035
56	0.5714466117
57	0.5702612898
58	0.5690525724
59	0.5675227922
60	0.5657923918
61	0.564266943
62	0.563182037
63	0.5618150898
64	0.5605884452
65	0.559382663
66	0.5581789091
67	0.5571965741
68	0.556359134
69	0.5554121967
70	0.5544028989
71	0.5529030886
72	0.5519519082
73	0.5507507806
74	0.549280072
75	0.5482758627
76	0.5473165997
77	0.5461115583
78	0.5448465531
79	0.5440115412
80	0.542711042
81	0.5415585257
82	0.5404607628
83	0.5391760302
84	0.5382551867
85	0.5376641101
86	0.5366429622
87	0.5355900497
88	0.5345804067
89	0.5334851788
90	0.532472039
91	0.5312635798
92	0.5303598427
93	0.5294547668
94	0.5282127362
95	0.5271494571
96	0.5260899902
97	0.5252155301
98	0.5239971359
99	0.5230878756
100	0.5222676111
101	0.5217271613
102	0.5212872081
103	0.5202789893
104	0.5194737839
105	0.5186011535
106	0.517783272
107	0.516776549
108	0.5160406109
109	0.5152027681
110	0.5141287766
111	0.5132440626
112	0.5124580184
113	0.5117957606
114	0.5112309647
115	0.5104891507
116	0.5098749223
117	0.5092987058
118	0.5086595234
119	0.5078463563
120	0.5070504637
121	0.5063612951
122	0.5052341301
123	0.5041364407
124	0.5033916579
125	0.5027998405
126	0.502290401
127	0.5016964209
128	0.5012089563
129	0.50050557
130	0.4998029607
131	0.4991276017
132	0.4986280779
133	0.4979466623
134	0.4971037668
135	0.4966617102
136	0.4958581018
137	0.4952266972
138	0.494406887
139	0.4934841509
140	0.4929420203
141	0.4923255783
142	0.491431265
143	0.4907169727
144	0.4897934321
145	0.4890462277
146	0.4881073346
147	0.4871822422
148	0.4864698687
149	0.4860522729
150	0.4854569617
151	0.4848813591
152	0.4842688962
153	0.4837941432
154	0.4832029445
155	0.4823965058
156	0.4815923721
157	0.4812153827
158	0.4806055176
159	0.4799337206
160	0.4794716728
161	0.4788821152
162	0.4785360427
163	0.4780752823
164	0.477319989
165	0.4767232472
166	0.4761368996
167	0.4754285539
168	0.4748022045
169	0.4738495931
170	0.4735611622
171	0.4731302318
172	0.4726621459
173	0.4721292671
174	0.4717722084
175	0.4712680045
176	0.4710077002
177	0.4704840543
178	0.4699012017
179	0.4693892409
180	0.4687709411
181	0.468341817
182	0.4677686753
183	0.4673447017
184	0.4666254425
185	0.4661058927
186	0.4656307689
187	0.4653498968
188	0.4648689489
189	0.4642670866
190	0.4636277605
191	0.4630086065
192	0.4625289779
193	0.4621808068
194	0.4616310986
195	0.4612224201
196	0.4607990335
197	0.460060465
198	0.4595689029
199	0.4587374732
200	0.4583297622
201	0.4580008592
202	0.4575634522
203	0.456952233
204	0.4567256196
205	0.4562784117
206	0.4560190622
207	0.4556082329
208	0.4551395203
209	0.4546339425
210	0.4541645448
211	0.4538324561
212	0.453447028
213	0.4530251412
214	0.4525718812
215	0.4520464389
216	0.4515031989
217	0.4510934411
218	0.4508415257
219	0.4506165773
220	0.4503603572
221	0.4499543823
222	0.4493543323
223	0.4488074861
224	0.4483756859
225	0.4479152138
226	0.4474004061
227	0.4467115327
228	0.4463600127
229	0.4458414581
230	0.4451647712
231	0.4446922181
232	0.444399788
233	0.4438227489
234	0.4434550233
235	0.4431362063
236	0.4427334788
237	0.4421704644
238	0.441909803
239	0.4415360823
240	0.4412657485
241	0.4409101664
242	0.4404043998
243	0.440083419
244	0.4396559384
245	0.439149106
246	0.4389053744
247	0.4384937071
248	0.4379146249
249	0.4377057082
250	0.4374418594
251	0.4368847044
252	0.4366130065
253	0.4363810529
254	0.4359113802
255	0.4354616109
256	0.4350702411
257	0.434642513
258	0.4343196743
259	0.4338367785
260	0.433652855
261	0.4330732939
262	0.4325861083
263	0.4322632171
264	0.4317401154
265	0.4313604634
266	0.431010915
267	0.430602738
268	0.4301753561
269	0.4297790059
270	0.4295397623
271	0.4292667676
272	0.4287981442
273	0.4284183975
274	0.4280853745
275	0.4276193512
276	0.4273956534
277	0.4271754685
278	0.4269969721
279	0.4267734134
280	0.4263519896
281	0.4260824561
282	0.4258857753
283	0.4254050526
284	0.4251984637
285	0.4249753229
286	0.4245948738
287	0.4243673424
288	0.4239351863
289	0.423644775
290	0.4233873293
291	0.4232034502
292	0.422742392
293	0.4224594362
294	0.4221721418
295	0.4218199137
296	0.4215894491
297	0.4213943113
298	0.4212191503
299	0.4207705777
300	0.4205889018
301	0.4199390531
302	0.4196508579
303	0.4195296543
304	0.4190443785
305	0.418707898
306	0.4184102528
307	0.4176962669
308	0.4173552356
309	0.4171709375
310	0.4167871161
311	0.4166412472
312	0.4163975913
313	0.4160173311
314	0.415812373
315	0.4152849909
316	0.4148118225
317	0.4144847829
318	0.4140111679
319	0.4136901757
320	0.4132455563
321	0.4130442726
322	0.4128671787
323	0.412301119
324	0.4120086495
325	0.4114218801
326	0.4111142192
327	0.4108485639
328	0.410436111
329	0.4101057516
